 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1999;Miles de Dolares FOB;127.033;60.711;183.128;10.385
1/02/1999;Miles de Dolares FOB;125.015;35.239;202.783;11.013
1/03/1999;Miles de Dolares FOB;94.253;62.565;249.687;10.172
1/04/1999;Miles de Dolares FOB;132.223;36.729;260.516;7.135
1/05/1999;Miles de Dolares FOB;105.187;77.229;265.237;10.621
1/06/1999;Miles de Dolares FOB;120.088;119.564;286.123;9.548
1/07/1999;Miles de Dolares FOB;88.071;74.016;349.111;13.080
1/08/1999;Miles de Dolares FOB;99.254;71.885;338.623;18.325
1/09/1999;Miles de Dolares FOB;83.640;61.391;410.810;15.837
1/10/1999;Miles de Dolares FOB;97.149;53.454;364.242;13.102
1/11/1999;Miles de Dolares FOB;123.777;91.005;365.557;17.146
1/12/1999;Miles de Dolares FOB;151.513;112.765;478.926;17.746
1/01/1999;Toneladas Metricas;47.869;2.069.764;2.535.678;5.774
1/02/1999;Toneladas Metricas;50.271;1.214.989;2.903.572;5.768
1/03/1999;Toneladas Metricas;38.826;2.145.144;2.801.472;4.946
1/04/1999;Toneladas Metricas;54.907;1.218.366;2.510.239;3.321
1/05/1999;Toneladas Metricas;43.331;2.656.525;2.507.742;4.847
1/06/1999;Toneladas Metricas;46.576;4.183.440;2.644.064;4.240
1/07/1999;Toneladas Metricas;36.780;2.696.636;2.896.976;5.364
1/08/1999;Toneladas Metricas;44.410;2.483.519;2.582.008;7.572
1/09/1999;Toneladas Metricas;38.514;2.163.377;2.750.573;5.547
1/10/1999;Toneladas Metricas;48.264;2.009.283;2.514.371;4.156
1/11/1999;Toneladas Metricas;57.232;3.394.913;2.280.533;5.055
1/12/1999;Toneladas Metricas;61.087;4.185.764;2.877.071;4.912
