date;unit_measure;coffee;coal;oil_oilbyproducts;ferronickel 
1/01/2013;USDkFOB;198__825;331.415;869.485;164.672
1/02/2013;USDkFOB;204--067;320.377;798.291;84.737
1/03/2013;USDkFOB;185[]607;451.517;1.018.803;NA  
1/04/2013;USDkFOB;166::088;505.207;1.008.097;106.612
1/05/2013;USDkFOB;147[]223;443.903;1.202.917;59.587
1/06/2013;USDkFOB;159-_400;526.593;1.460.899;115.974
1/07/2013;USDkFOB;172-_324;512.079;1.335.526;104.470
1/08/2013;USDkFOB;116[]587;388.721;1.274.605;59.520
1/09/2013;USDkFOB;129--225;416.759;1.208.662;34.901
1/10/2013;USDkFOB;128__630;372.998;899.103;0
1/11/2013;USDkFOB;99::066;119.325;647.674;13.064
1/12/2013;USDkFOB;147&&924;123.714;486.439;34.677
1/01/2013;MetricTons;66[]969;5.680.613;1.629.315;17.404
1/02/2013;MetricTons;67&&361;4.652.213;1.398.563;9.584
1/03/2013;MetricTons;57::227;6.990.127;1.646.669;NA  
1/04/2013;MetricTons;50-_740;7.198.798;1.608.215;11.157
1/05/2013;MetricTons;45&&863;5.948.872;1.655.379;6.264
1/06/2013;MetricTons;49&&634;6.747.136;1.832.509;13.539
1/07/2013;MetricTons;53::000;6.177.986;1.706.649;14.216
1/08/2013;MetricTons;35-_684;4.689.358;1.869.422;8.991
1/09/2013;MetricTons;38&&984;4.671.754;1.921.589;5.581
1/10/2013;MetricTons;38::962;4.479.653;2.095.938;0
1/11/2013;MetricTons;33-_184;1.079.153;1.987.773;2.633
1/12/2013;MetricTons;49[]425;1.350.277;2.015.913;5.630
