date;unit_measure;coffee;coal;oil_oilbyproducts;ferronickel
1/01/2015;USDkFOB;282.199;412.622;1.139.138;55.129
1/02/2015;USDkFOB;245::880;409.885;1.369.264;15.959
1/03/2015;USDkFOB;207&&262;498.557;1.504.909;80.976
1/04/2015;USDkFOB;177.275;429.377;1.327.334;26.379
1/05/2015;USDkFOB;190::448;306.824;1.637.327;29.040
1/06/2015;USDkFOB;155[]986;385.288;1.390.383;36.632
1/07/2015;USDkFOB;234&&972;378.466;1.159.675;45.665
1/08/2015;USDkFOB;214::936;448.910;1.069.879;26.040
1/09/2015;USDkFOB;245-_896;346.582;1.065.492;36.935
1/10/2015;USDkFOB;175.232;275.602;1.196.043;18.085
1/11/2015;USDkFOB;183[]509;309.584;889.938;30.867
1/12/2015;USDkFOB;212.937;358.329;816.748;28.045
1/01/2015;MetricTons;64.610;5.834.251;4.109.478;12.707
1/02/2015;MetricTons;59&&311;6.160.922;4.191.446;3.696
1/03/2015;MetricTons;52[]277;7.605.814;4.593.090;20.316
1/04/2015;MetricTons;47.231;6.756.601;3.891.460;7.203
1/05/2015;MetricTons;52::936;4.953.838;4.315.365;8.320
1/06/2015;MetricTons;44.691;6.267.750;3.754.526;11.015
1/07/2015;MetricTons;69-_107;6.069.623;3.492.278;13.308
1/08/2015;MetricTons;64&&005;7.089.058;3.918.927;8.772
1/09/2015;MetricTons;75.227;6.373.753;3.966.952;13.910
1/10/2015;MetricTons;54-_280;4.798.950;4.373.724;7.003
1/11/2015;MetricTons;58.548;5.718.975;3.684.568;10.775
1/12/2015;MetricTons;68[]888;7.081.914;4.140.012;11.609
