 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1995;Miles de Dolares FOB;166.371;27.579;134.091;8.601
1/02/1995;Miles de Dolares FOB;161.095;15.742;146.625;19.143
1/03/1995;Miles de Dolares FOB;140.860;52.777;153.080;24.972
1/04/1995;Miles de Dolares FOB;128.926;37.767;172.720;14.314
1/05/1995;Miles de Dolares FOB;179.102;43.991;199.487;14.839
1/06/1995;Miles de Dolares FOB;153.537;56.798;191.018;10.329
1/07/1995;Miles de Dolares FOB;104.920;61.975;180.403;18.021
1/08/1995;Miles de Dolares FOB;153.951;16.915;229.579;14.806
1/09/1995;Miles de Dolares FOB;129.340;66.505;188.181;12.996
1/10/1995;Miles de Dolares FOB;166.063;66.396;212.246;8.913
1/11/1995;Miles de Dolares FOB;177.979;72.429;185.638;14.338
1/12/1995;Miles de Dolares FOB;169.750;73.665;191.612;23.514
1/01/1995;Toneladas Metricas;43687;1006148;1235309;2372
1/02/1995;Toneladas Metricas;44890;534240;1306039;5227
1/03/1995;Toneladas Metricas;37200;1776740;1335702;7744
1/04/1995;Toneladas Metricas;33983;1222083;1395319;4788
1/05/1995;Toneladas Metricas;46624;1408520;1622820;5401
1/06/1995;Toneladas Metricas;39915;1739665;1680143;3459
1/07/1995;Toneladas Metricas;32807;1925159;1654944;5640
1/08/1995;Toneladas Metricas;46458;536898;2023276;4471
1/09/1995;Toneladas Metricas;40022;1890532;1646535;3635
1/10/1995;Toneladas Metricas;59819;2008454;1919560;2559
1/11/1995;Toneladas Metricas;63049;2198011;1658476;4330
1/12/1995;Toneladas Metricas;68786;2146059;1561075;6869
