 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1998;Miles de Dolares FOB;193.148;85.305;194.094;13.167
1/02/1998;Miles de Dolares FOB;141.611;40.820;184.248;7.534
1/03/1998;Miles de Dolares FOB;157.467;46.103;196.122;11.815
1/04/1998;Miles de Dolares FOB;168.135;60.474;188.295;9.473
1/05/1998;Miles de Dolares FOB;185.258;138.997;205.036;14.366
1/06/1998;Miles de Dolares FOB;169.414;94.372;154.838;9.162
1/07/1998;Miles de Dolares FOB;156.440;85.505;178.280;11.591
1/08/1998;Miles de Dolares FOB;121.180;62.974;184.782;8.975
1/09/1998;Miles de Dolares FOB;127.722;97.001;200.033;12.493
1/10/1998;Miles de Dolares FOB;146.554;35.491;235.367;6.462
1/11/1998;Miles de Dolares FOB;149.060;110.388;191.490;4.320
1/12/1998;Miles de Dolares FOB;177.114;78.267;216.267;10.292
1/01/1998;Toneladas Metricas;51.459;2.560.094;1.871.434;5.102
1/02/1998;Toneladas Metricas;38.021;1.258.402;1.966.288;3.251
1/03/1998;Toneladas Metricas;43.993;1.449.226;2.233.180;5.185
1/04/1998;Toneladas Metricas;49.516;1.861.092;2.086.008;3.912
1/05/1998;Toneladas Metricas;57.548;4.290.753;2.363.045;5.883
1/06/1998;Toneladas Metricas;58.450;3.045.672;1.930.305;4.014
1/07/1998;Toneladas Metricas;56.666;2.791.254;2.165.320;5.795
1/08/1998;Toneladas Metricas;45.055;2.107.496;2.347.036;4.670
1/09/1998;Toneladas Metricas;50.543;3.288.688;2.289.490;6.892
1/10/1998;Toneladas Metricas;57.640;1.179.747;2.697.826;3.674
1/11/1998;Toneladas Metricas;58.523;3.701.531;2.513.594;2.688
1/12/1998;Toneladas Metricas;68.976;2.632.264;3.295.257;6.116
