ano;unidad;cafe;carbon;petroleo;ferroniquel
1992;Miles de Dolares FOB;1258847;555429;1412943;125155.0
1992;Toneladas Metricas;966835;14793269;12465425;48048.0
1993;Miles de Dolares FOB;1139868;564415;1323260;101898.0
1993;Toneladas Metricas;782259;17716683;12761908;49380.0
1994;Miles de Dolares FOB;1990136;549833;1312724;118782.0
1994;Toneladas Metricas;672245;18534080;13127634;51454.0
1995;Miles de Dolares FOB;1831894;592539;2184680;184786.0
1995;Toneladas Metricas;557240;18392509;19039198;56495.0
1996;Miles de Dolares FOB;1578430;848554;2947001;172075.0
1996;Toneladas Metricas;600180;24919753;20655423;55374.0
1997;Miles de Dolares FOB;2261168;887899;2707140;160552.0
1997;Toneladas Metricas;617417;25886504;22037109;52481.0
1998;Miles de Dolares FOB;1893103;935697;2328852;119650.0
1998;Toneladas Metricas;636390;30166219;27758783;57182.0
1999;Miles de Dolares FOB;1347203;856553;3754743;154110.0
1999;Toneladas Metricas;568067;30421720;31804299;61502.0
2000;Miles de Dolares FOB;1067351;892882;4775488;211403.0
2000;Toneladas Metricas;514056;33807448;24716575;54280.0
2001;Miles de Dolares FOB;763842;1197014;3285064;235229.0
2001;Toneladas Metricas;556266;38785167;20366398;94969.0
2002;Miles de Dolares FOB;772201;990516;3275204;271529.0
2002;Toneladas Metricas;571039;32140408;20042175;115233.0
2003;Miles de Dolares FOB;809330;1422026;3383240;416228.0
2003;Toneladas Metricas;575346;50992591;17353201;132196.0
2004;Miles de Dolares FOB;956242;1859073;4227420;636666.0
2004;Toneladas Metricas;568557;51190105;17489679;125876.0
2005;Miles de Dolares FOB;1472135;2554321;5559384;737157.0
2005;Toneladas Metricas;609211;54400635;16836837;137224.0
2006;Miles de Dolares FOB;1471547;2926421;6333127;1106850.0
2006;Toneladas Metricas;597789;61070029;16672349;140559.0
2007;Miles de Dolares FOB;1729424;3603885;7322935;1713559.0
2007;Toneladas Metricas;637443;69913776;16721736;137397.0
2008;Miles de Dolares FOB;1669359;4061091;11191698;778.2139999999999
2008;Toneladas Metricas;529806;52675813;19721265;94.99899999999998
2009;Miles de Dolares FOB;1542697;5416385;10267502;725934.0
2009;Toneladas Metricas;454756;68684310;25542730;169571.0
2010;Miles de Dolares FOB;1883556;6015183;16501624;967338.0
2010;Toneladas Metricas;408961;72226881;32507873;140824.0
2011;Miles de Dolares FOB;2608366;8396864;28420664;826618.0
2011;Toneladas Metricas;431207;81225010;41005964;111650.0
2012;Miles de Dolares FOB;1909997;7805189;31558934;881170.0
2012;Toneladas Metricas;395517;77403028;44146456;146658.0
2013;Miles de Dolares FOB;1883907;6687899;32485854;680123.0
2013;Toneladas Metricas;542820;76652895;47650388;138837.0
2014;Miles de Dolares FOB;2473249;6810063;28988177;640597.0
2014;Toneladas Metricas;617959;89095315;49142512;132555.0
2015;Miles de Dolares FOB;2526532;4560026;14566130;429752.0
2015;Toneladas Metricas;711111;74711449;48431826;128634.0
2016;Miles de Dolares FOB;2417693;4638881;10795579;327765.0
2016;Toneladas Metricas;732967;85127799;43935044;127742.0
2017;Miles de Dolares FOB;2513503;7389996;13166719;360543.0
2017;Toneladas Metricas;710355;105235590;40029965;110957.0
2018;Miles de Dolares FOB;1125071;3961935;8157412;338663.0
2018;Toneladas Metricas;347495;47712693;18711895;80686.0
